staff_name,publication,publication_year
Xianghai AN,Hierarchical microstructure and strengthening mechanisms of a CoCrFeNiMn high entropy alloy additively manufactured by selective laser melting,2018
Xianghai AN,Microstructural evolution and mechanical properties of Cu–Al alloys subjected to equal channel angular pressing,2009
Xianghai AN,Significance of stacking fault energy in bulk nanostructured materials: insights from Cu and its binary alloys as model systems,2019
Xianghai AN,Simultaneously enhancing strength and ductility of a high-entropy alloy via gradient hierarchical microstructures,2019
Xianghai AN,Cryogenic-deformation-induced phase transformation in an FeCoCrNi high-entropy alloy,2018
Xianghai AN,Excellent ductility and serration feature of metastable CoCrFeNi high-entropy alloy at extremely low temperatures,2019
Xianghai AN,Ultrahigh cryogenic strength and exceptional ductility in ultrafine-grained CoCrFeMnNi high-entropy alloy with fully recrystallized structure,2018
Xianghai AN,Enhanced strength–ductility synergy in nanostructured Cu and Cu–Al alloys processed by high-pressure torsion and subsequent annealing,2012
Xianghai AN,Selective laser melting enabling the hierarchically heterogeneous microstructure and excellent mechanical properties in an interstitial solute strengthened high entropy alloy,2019
Xianghai AN,Evolution of microstructural homogeneity in copper processed by high-pressure torsion,2010
Xianghai AN,The influence of stacking fault energy on the mechanical properties of nanostructured Cu and Cu–Al alloys processed by high-pressure torsion,2011
Xianghai AN,Deformation-induced crystalline-to-amorphous phase transformation in a CrMnFeCoNi high-entropy alloy,2021
Xianghai AN,Enhanced cyclic deformation responses of ultrafine-grained Cu and nanocrystalline Cu–Al alloys,2014
Xianghai AN,Concurrent microstructural evolution of ferrite and austenite in a duplex stainless steel processed by high-pressure torsion,2014
Xianghai AN,Microscopic mechanisms contributing to the synchronous improvement of strength and plasticity (SISP) for TWIP copper alloys,2015
Xianghai AN,Enhanced strength–ductility synergy and transformation-induced plasticity of the selective laser melting fabricated 304L stainless steel,2020
Xianghai AN,High strength and utilizable ductility of bulk ultrafine-grained Cu–Al alloys,2008
Xianghai AN,Significance of stacking fault energy on microstructural evolution in Cu and Cu–Al alloys processed by high-pressure torsion,2011
Xianghai AN,Microstructure and mechanical properties of Cu and Cu–Zn alloys produced by equal channel angular pressing,2011
Xianghai AN,Influence of Al content on the strain-hardening behavior of aged low density Fe–Mn–Al–C steels with high Al content,2015
Xianghai AN,Can experiment determine the stacking fault energy of metastable alloys?,2021
Xianghai AN,Optimizing strength and ductility of Cu–Zn alloys through severe plastic deformation,2012
Xianghai AN,Exploring the fatigue strength improvement of Cu-Al alloys,2018
Xianghai AN,Effect of a high density of stacking faults on the Young’s modulus of GaAs nanowires,2016
Xianghai AN,Influence of stacking-fault energy on the accommodation of severe shear strain in Cu-Al alloys during equal-channel angular pressing,2009
Xianghai AN,Microstructural evolution and phase transformation in twinning-induced plasticity steel induced by high-pressure torsion,2016
Xianghai AN,Metallic nanocrystals with low angle grain boundary for controllable plastic reversibility,2020
Xianghai AN,In situ atomistic observation of grain boundary migration subjected to defect interaction,2020
Xianghai AN,Improved fatigue strengths of nanocrystalline Cu and Cu–Al alloys,2015
Xianghai AN,Mechanical behaviors of nanowires,2017
Xianghai AN,In-situ high-resolution transmission electron microscopy investigation of grain boundary dislocation activities in a nanocrystalline CrMnFeCoNi high-entropy alloy,2017
Xianghai AN,Grain boundary formation by remnant dislocations from the de-twinning of thin nano-twins,2015
Xianghai AN,Effects of dislocation slip mode on high-cycle fatigue behaviors of ultrafine-grained Cu–Zn alloy processed by equal-channel angular pressing,2013
Xianghai AN,Unraveling dual phase transformations in a CrCoNi medium-entropy alloy,2021
Xianghai AN,Direct observations of microstructural evolution in a two-phase Cu–Ag alloy processed by high-pressure torsion,2010
Xianghai AN,Effects of stacking fault energy on the thermal stability and mechanical properties of nanostructured Cu–Al alloys during thermal annealing,2011
Xianghai AN,Microstructural evolution and shear fracture of Cu–16 at.% Al alloy induced by equal channel angular pressing,2010
Xianghai AN,Effect of grain size on fatigue cracking at twin boundaries in a CoCrFeMnNi high-entropy alloy,2020
Xianghai AN,Formation of fivefold deformation twins in an ultrafine-grained copper alloy processed by high-pressure torsion,2011
Xianghai AN,Hierarchical twinning governed by defective twin boundary in metallic materials,2022
